Date,100 SPY,100 LQD,80-20 SPYxLQD - Daily,60-40 SPYxLQD - Daily,50-50 SPYxLQD - Daily,80-20 SPYxLQD - Monthly,60-40 SPYxLQD - Monthly,50-50 SPYxLQD - Monthly,80-20 SPYxLQD - Yearly,60-40 SPYxLQD - Yearly,50-50 SPYxLQD - Yearly,Fast Algo - Daily,Fast Algo - Monthly,Fast Algo - Yearly,Round Robin - Daily,,,,,,,,,,,,,,,,,
11/1/2018,96.24750634,98.41620996,96.72089536,97.17465136,97.39410508,96.70069223,97.14415554,97.36224123,96.68124706,97.11498778,97.33185815,97.96665312,95.33321094,96.19866963,99.75347645,,,,,,,,,,,,,,,,,
11/2/2018,95.67746219,98.02148454,96.18503188,96.67343184,96.91037455,96.16494068,96.64309332,96.87866895,96.14626666,96.61507113,96.84947337,97.44002416,94.82073829,95.76595306,99.31287219,,,,,,,,,,,,,,,,,
11/5/2018,96.2052752,98.19689697,96.64394753,97.06261627,97.26439381,96.62365023,97.03198948,97.23239895,96.60359955,97.00192391,97.20108608,98.71214858,96.06415597,96.5870645,100.2926392,,,,,,,,,,,,,,,,,
11/6/2018,96.81406345,98.36358465,97.16600919,97.49704928,97.65469138,97.14573045,97.46647862,97.62276984,97.12396769,97.43387193,97.58882405,99.33617717,96.6704979,97.28354002,101.2693955,,,,,,,,,,,,,,,,,
11/7/2018,98.88676476,98.6179469,98.88045119,98.85029191,98.82630513,98.86168472,98.8221149,98.79694258,98.83300119,98.77923762,98.75235583,100.1307487,97.42820361,99.07035993,102.4550443,,,,,,,,,,,,,,,,,
11/8/2018,98.70726779,98.32849583,98.67881847,98.62658024,98.59158021,98.66052988,98.59912945,98.562979,98.6315134,98.55575901,98.51788181,100.0897925,97.40070463,98.80101403,102.2708115,,,,,,,,,,,,,,,,,
11/9/2018,97.74308396,98.39865764,97.92177608,98.07669265,98.14522808,97.89933866,98.04293169,98.11000873,97.8741987,98.00531343,98.0708708,100.4151255,97.81000691,98.14324127,102.0428555,,,,,,,,,,,,,,,,,
11/12/2018,95.91671922,98.38986171,96.45626248,96.97362678,97.22390197,96.42963872,96.93343121,97.18189905,96.41134771,96.90597621,97.15329046,100.0446604,97.46632194,96.54379812,101.3435441,,,,,,,,,,,,,,,,,
11/13/2018,95.73727498,98.25829448,96.28610326,96.81290449,97.06795304,96.25955263,96.77281497,97.02605865,96.24147888,96.74568278,96.99778473,100.1004605,97.4790456,96.340774,101.307767,,,,,,,,,,,,,,,,,
11/14/2018,95.08272755,97.99516002,95.70789288,96.31205815,96.60615709,95.68173957,96.27253446,96.56483623,95.66521404,96.24770054,96.53894378,99.25677383,96.68985181,95.64413307,100.6931489,,,,,,,,,,,,,,,,,
11/15/2018,96.07508304,97.81095166,96.47101528,96.84275178,97.01948599,96.44316253,96.80076371,96.97564288,96.42225677,96.76943049,96.94301735,98.8138355,96.29341205,96.43877639,100.8224587,,,,,,,,,,,,,,,,,
11/16/2018,96.32492422,98.00394805,96.70978241,97.07028866,97.24135188,96.68190303,97.02826568,97.19747506,96.66072899,96.99653375,97.16443613,99.54147776,96.99658095,96.92904592,101.760679,,,,,,,,,,,,,,,,,
11/19/2018,94.69565569,97.90746963,95.38211902,96.04693943,96.3711034,95.35339168,96.00350497,96.32568313,95.33801848,95.98038127,96.30156266,99.55331964,97.05907076,95.8435479,101.3694409,,,,,,,,,,,,,,,,,
11/20/2018,92.9431925,97.67062014,93.92383729,94.88751773,95.36280225,93.8982757,94.84871614,95.32214656,93.88867803,94.83416356,95.30690632,98.52109356,95.90254232,94.09137615,100.0526287,,,,,,,,,,,,,,,,,
11/21/2018,93.25989085,97.88115302,94.22036047,95.16332536,95.6280529,94.19419994,95.12363006,95.58646884,94.18414329,95.10839572,95.57052194,97.31709773,94.88897946,94.25232535,100.0797285,,,,,,,,,,,,,,,,,
11/23/2018,92.63704314,97.92500613,93.7253932,94.79904352,95.33014285,93.70219334,94.76375445,95.29312982,93.69463574,94.75222833,95.28102463,97.48236472,95.11396749,93.66099214,99.56949974,,,,,,,,,,,,,,,,,
11/26/2018,94.13260905,97.96886714,94.9442985,95.73430988,96.12101437,94.91289891,95.68677132,96.07126921,94.89986067,95.66711229,96.05073809,97.86563801,95.40235018,94.83573738,100.6682354,,,,,,,,,,,,,,,,,
11/27/2018,94.4493074,97.84607212,95.17604105,95.87956445,96.22246897,95.14331963,95.83007742,96.17071239,95.12866034,95.80801329,96.14768976,98.67860135,96.20379227,95.03049933,100.5824962,,,,,,,,,,,,,,,,,
11/28/2018,96.62404092,98.10918284,96.98040073,97.30729301,97.45962202,96.94300319,97.2509575,97.40081949,96.92106931,97.21809769,97.36661188,99.24683151,96.67358142,96.80808412,102.0213736,,,,,,,,,,,,,,,,,
11/29/2018,96.41288524,97.82849607,96.7553617,97.06834668,97.21371697,96.71812445,97.01226028,97.15517845,96.69600741,96.97912957,97.12069066,99.36043711,96.75740561,96.76474401,102.0324192,,,,,,,,,,,,,,,,,
11/30/2018,97.00055792,97.76712229,97.21502975,97.39898871,97.47949995,97.17841547,97.34391657,97.42205973,97.1538708,97.30718367,97.38384011,100.7591681,97.68463652,97.58753104,102.6286961,,,,,,,,,,,,,,,,,
12/3/2018,98.2849916,98.13050033,98.31711384,98.31761831,98.30604225,98.28220944,98.26522881,98.25145795,98.25409334,98.22319509,98.20774596,101.0818972,98.1110628,98.6740576,103.8418508,,,,,,,,,,,,,,,,,
12/4/2018,95.1003092,98.14812383,95.77206666,96.41323741,96.72218752,95.72593061,96.34357642,96.64939171,95.70987213,96.31943505,96.62421652,100.1373856,97.11255556,95.91408218,99.83739359,,,,,,,,,,,,,,,,,
12/6/2018,94.95605758,98.44728048,95.71423309,96.44303901,96.79623684,95.66877434,96.37433512,96.72440699,95.65430216,96.35254674,96.70166903,100.1441854,97.2172038,95.45375312,98.74061288,,,,,,,,,,,,,,,,,
12/7/2018,92.74964192,98.45611597,93.93672491,95.1019208,95.67599329,93.89706689,95.04164115,95.61279228,93.89093673,95.03223154,95.60287894,99.82656182,96.60152658,93.6308255,96.45180964,,,,,,,,,,,,,,,,,
12/10/2018,92.92559326,98.75528844,94.1363755,95.32576117,95.91210703,94.09728225,95.2663177,95.84977115,94.0915323,95.25747133,95.84044085,100.012039,96.67468769,93.60612244,96.17073783,,,,,,,,,,,,,,,,,
12/11/2018,92.94672641,98.93127038,94.18705251,95.40671677,96.0084709,94.14885125,95.34859865,95.94750876,94.14363521,95.340544,95.9389984,100.4385124,97.31325852,93.61763936,95.56728437,,,,,,,,,,,,,,,,,
12/12/2018,93.41473249,99.03686113,94.58655905,95.73568393,96.3014178,94.54576904,95.67370867,96.23645198,94.53915822,95.66358395,96.22579681,99.93051745,96.99826323,94.04036543,96.20401717,,,,,,,,,,,,,,,,,
12/13/2018,93.38306793,99.30084196,94.61133335,95.8182858,96.41344105,94.57219398,95.75876046,96.35101322,94.56662273,95.75017754,96.34195494,100.6736432,97.69107272,94.00788087,96.17580255,,,,,,,,,,,,,,,,,
12/14/2018,91.65875883,99.19525121,93.1936214,94.71596567,95.47204851,93.16550148,94.67284634,95.42664326,93.1660573,94.67335578,95.42700502,99.9672006,96.60358116,92.466939,96.34735501,,,,,,,,,,,,,,,,,
12/17/2018,89.86056575,99.30084196,91.7508182,93.64139249,94.5863605,91.74092355,93.62556962,94.56936339,91.74862099,93.63667624,94.58070386,96.80522509,94.02672985,90.54557658,96.7223967,,,,,,,,,,,,,,,,,
12/18/2018,89.76203816,99.65568509,91.73591082,93.71363647,94.70350408,91.73146189,93.706005,94.69505053,91.74076755,93.71949693,94.70886163,96.15385199,93.10079326,90.24677997,96.30110092,,,,,,,,,,,,,,,,,
12/19/2018,88.41778584,99.57622111,90.62223104,92.84168788,93.95661928,90.63538069,92.86056496,93.97583334,90.64947289,92.88115995,93.99700347,95.99541504,92.49060101,89.06008406,94.88149287,,,,,,,,,,,,,,,,,
12/20/2018,86.97853397,99.24963254,89.38267835,91.81312948,93.03783445,89.41437862,91.860022,93.08632721,89.43275369,91.8869734,93.11408326,95.94261066,91.46710112,87.6993914,93.00273702,,,,,,,,,,,,,,,,,
12/21/2018,85.19636364,99.15252132,87.90004243,90.64845745,92.03915581,87.96284553,90.74241569,92.13688592,87.98759518,90.77882672,92.17444248,95.53248951,90.73934966,86.3869188,91.83769937,,,,,,,,,,,,,,,,,
12/24/2018,82.94522611,98.92302024,86.00128995,89.12741181,90.71666559,86.10835571,89.28853622,90.88475922,86.14078494,89.33634376,90.93412318,91.5379109,87.65107357,83.88932598,88.86628754,,,,,,,,,,,,,,,,,
12/26/2018,87.13601872,98.84361954,89.46364388,91.80068437,92.97198025,89.4611725,91.79508706,92.96514913,89.47753888,91.81905905,92.98981913,92.78068351,89.60161321,87.54676949,93.41544256,,,,,,,,,,,,,,,,,
12/27/2018,87.80501241,98.84361954,90.01313526,92.22356859,93.32888013,89.99888745,92.20022271,93.30352011,90.01273384,92.22045526,93.32431598,93.56184851,90.41947074,88.42023526,94.54123838,,,,,,,,,,,,,,,,,
12/28/2018,87.69174553,99.31142555,90.00544564,92.32677843,93.4895368,89.9997776,92.31633326,93.47762881,90.01568153,92.33961754,93.50158554,93.79264438,90.50667372,88.29406804,94.04734216,,,,,,,,,,,,,,,,,
12/31/2018,88.45981185,99.5850566,90.68570881,92.91373091,94.02775559,90.6708961,92.88950399,94.00146015,90.6848608,92.90990975,94.02243422,93.95242307,90.79572417,89.01582497,94.78961755,,,,,,,,,,,,,,,,,
1/2/2019,88.5518401,99.8939742,90.81744623,93.08701714,94.22250528,90.80557191,93.06720525,94.20081186,90.82026692,93.08869374,94.22290715,92.33683615,89.85860236,89.02156023,95.73667686,,,,,,,,,,,,,,,,,
1/3/2019,86.438742,99.93812789,89.09174508,91.77068296,93.11912058,89.11581054,91.80496812,93.15386632,89.13861918,91.83849635,93.18843494,92.31909178,89.53610557,87.19007209,93.54414798,,,,,,,,,,,,,,,,,
1/4/2019,89.33407723,99.87633487,91.46808754,93.5923455,94.64988216,91.43084181,93.53395543,94.58773514,91.44252876,93.55098029,94.60520605,93.68613054,91.2178051,89.9269824,97.01337109,,,,,,,,,,,,,,,,,
1/7/2019,90.03845108,99.88518618,92.0466687,94.03843271,95.02721995,91.99873355,93.9640117,94.94837934,92.0077981,93.97714512,94.96181863,93.04698399,90.90009841,90.4425949,97.87067092,,,,,,,,,,,,,,,,,
1/8/2019,90.88438069,100.105828,92.77917187,94.65162953,95.57857543,92.72202288,94.56341392,95.48538238,92.72867016,94.57295963,95.49510437,94.20097918,91.84791723,91.26873836,98.91238976,,,,,,,,,,,,,,,,,
1/9/2019,91.30913004,100.48539,93.19641203,95.0605956,95.98311748,93.13801145,94.97050012,95.88796531,93.14438202,94.97963401,95.89726,93.6328498,91.11055696,91.58594719,99.67024808,,,,,,,,,,,,,,,,,
1/10/2019,91.63123768,100.2205865,93.41030525,95.1615974,96.02594598,93.34487337,95.06101285,95.91990064,93.34910744,95.06697721,95.92591209,94.85786216,91.90009617,92.08287077,100.5112193,,,,,,,,,,,,,,,,,
1/11/2019,91.66660611,100.4059418,93.47370133,95.2540356,96.13327706,93.40972621,95.15561542,96.02947482,93.41447325,95.16234039,96.03627396,94.50279221,91.92928308,92.01764062,100.1439085,,,,,,,,,,,,,,,,,
1/14/2019,91.10738054,100.1411463,92.96819861,94.8048854,95.71327575,92.90820328,94.712405,95.61564368,92.91413369,94.72088683,95.6242634,92.37236458,90.85208747,91.40254606,100.0393464,,,,,,,,,,,,,,,,,
