Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND,,,,,,,,,,,,,,,,,,,,,
11/22/2019,0.000821828,-3.51E-05,0.001032199,0.001294575,0.000885427,0.00088386,0.000397508,0.000574534,0.000574152,0.000579087,0.000522878,7.61982679394761e-05,0.000117281,0.000317466,0.000648462,0.00012073,0.000231166,0.0006382,0.000310447,,,,,,,,,,,,,,,,,,,,,
11/25/2019,0.000903562,3.261370102942287e-06,0.001097775,0.001447575,0.001002457,0.000955229,0.000493119,0.00057819,0.000531722,0.000653992,0.000554763,7.543628526008136e-05,0.000117601,0.000318645,0.000672912,0.000121305,0.000228438,0.000660696,0.000317776,,,,,,,,,,,,,,,,,,,,,
11/26/2019,0.000905209,-0.000109494,0.00105838,0.001423463,0.000975312,0.000971056,0.000543102,0.000659808,0.000557632,0.000692147,0.000576856,7.577393584708011e-05,0.000121449,0.000336554,0.000731624,0.000123807,0.000239386,0.000717176,0.000333305,,,,,,,,,,,,,,,,,,,,,
11/27/2019,0.000941675,-7.85E-05,0.001090485,0.001468051,0.001012371,0.000952284,0.000628448,0.00067184,0.000564523,0.000739226,0.000571321,7.738877704700047e-05,0.000113721,0.000304196,0.000691766,0.000118999,0.000218736,0.000677761,0.000312695,,,,,,,,,,,,,,,,,,,,,
11/29/2019,0.0008721,-0.00020213,0.001045015,0.001391197,0.000943403,0.000872001,0.000526164,0.000654447,0.000549179,0.000678888,0.000541258,7.652090100203292e-05,0.00011612,0.000292485,0.000665892,0.000122874,0.000215994,0.000655104,0.000309125,,,,,,,,,,,,,,,,,,,,,
12/2/2019,0.000772986,-0.000205749,0.000973441,0.00123041,0.000883073,0.000684045,0.000435308,0.00067104,0.000473363,0.000557318,0.000491162,7.649135270240118e-05,0.000111413,0.000248344,0.000511007,0.000118141,0.000190611,0.000501688,0.000276955,,,,,,,,,,,,,,,,,,,,,
12/3/2019,0.000687143,-0.000364455,0.00080692,0.001113647,0.000832571,0.000550323,0.000315545,0.00064129,0.000485349,0.00048008,0.000570571,7.444604420076016e-05,0.000125398,0.000341037,0.000730435,0.000130969,0.000252241,0.000708782,0.000332126,,,,,,,,,,,,,,,,,,,,,
12/4/2019,0.000735868,-0.000217083,0.000896378,0.0011276,0.000929508,0.000577023,0.000356787,0.0007059,0.00055482,0.000484019,0.000547233,7.491616992797875e-05,0.000119727,0.000294036,0.000608536,0.000124534,0.000216246,0.000592745,0.000305554,,,,,,,,,,,,,,,,,,,,,
12/5/2019,0.000776005,-0.000241796,0.000975935,0.001189204,0.000939479,0.000610657,0.000373499,0.000709922,0.000567535,0.000559861,0.000529712,7.644858510372037e-05,0.000112769,0.000261796,0.000535157,0.000121215,0.00019862,0.000530172,0.000288784,,,,,,,,,,,,,,,,,,,,,
12/6/2019,0.000868779,-1.58E-05,0.001123179,0.001295519,0.0010052,0.000740825,0.000452865,0.000743646,0.000528385,0.000677334,0.000515831,7.549525124458154e-05,0.000106965,0.000223803,0.000466976,0.000111848,0.000175424,0.000451645,0.000270139,,,,,,,,,,,,,,,,,,,,,
